Profile,SNR_dB,Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
2,0,S2_Fade,E-FQ,PRE,Ppred22,0.055341,0.017194,0.016229,0.042669
2,0,S2_Fade,E-FQ,PRE,tracking_error,0.000895,0.000000,-0.871695,0.865312
2,0,S2_Fade,E-FQ,FADE,m_reliability,0.377410,0.353742,0.154889,0.630093
2,0,S2_Fade,E-FQ,FADE,rho_raw,0.202715,0.193103,0.079772,0.339129
2,0,S2_Fade,E-FQ,FADE,rho_relative,0.383571,0.362084,0.147480,0.644158
2,0,S2_Fade,E-FQ,FADE,Lambda,10.349657,7.028030,2.445942,23.186861
2,0,S2_Fade,E-FQ,FADE,R_vb,1.387082,1.351644,0.528241,2.354838
2,0,S2_Fade,E-FQ,FADE,R_eff,15.187858,10.060997,1.466906,36.973843
2,0,S2_Fade,E-FQ,FADE,R_eff_R_vb,10.349657,7.028030,2.445942,23.186861
2,0,S2_Fade,E-FQ,FADE,K_delay,0.147202,0.132984,0.042850,0.276080
2,0,S2_Fade,E-FQ,FADE,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S2_Fade,E-FQ,FADE,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S2_Fade,E-FQ,FADE,innovation,0.019519,-0.000659,-2.039106,2.035437
2,0,S2_Fade,E-FQ,FADE,abs_innovation,1.228101,1.100114,0.217752,2.478368
2,0,S2_Fade,E-FQ,FADE,S,16.700582,11.903725,1.898813,39.400918
2,0,S2_Fade,E-FQ,FADE,NIS,0.249707,0.106697,0.004935,0.718604
2,0,S2_Fade,E-FQ,FADE,Ppred11,1.512724,1.412009,0.430325,2.795023
2,0,S2_Fade,E-FQ,FADE,Ppred22,0.024826,0.025343,0.018512,0.030759
2,0,S2_Fade,E-FQ,FADE,tracking_error,-0.050601,-0.007702,-1.224142,1.057029
2,0,S2_Fade,E-FQ,POST,m_reliability,0.958642,0.988812,0.875850,1.000000
2,0,S2_Fade,E-FQ,POST,rho_raw,0.534162,0.545435,0.458234,0.586829
2,0,S2_Fade,E-FQ,POST,rho_relative,0.962220,1.000000,0.857694,1.000000
2,0,S2_Fade,E-FQ,POST,Lambda,1.106754,1.022301,1.000000,1.295876
2,0,S2_Fade,E-FQ,POST,R_vb,1.240116,1.100856,0.710613,1.979240
2,0,S2_Fade,E-FQ,POST,R_eff,1.428074,1.153337,0.731201,2.412075
2,0,S2_Fade,E-FQ,POST,R_eff_R_vb,1.106754,1.022301,1.000000,1.295876
2,0,S2_Fade,E-FQ,POST,K_delay,0.308867,0.309080,0.268329,0.349187
2,0,S2_Fade,E-FQ,POST,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S2_Fade,E-FQ,POST,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S2_Fade,E-FQ,POST,innovation,0.010927,-0.031505,-0.909950,0.989017
2,0,S2_Fade,E-FQ,POST,abs_innovation,0.605695,0.468884,0.087026,1.321649
2,0,S2_Fade,E-FQ,POST,S,2.035052,1.663268,1.117564,3.344592
2,0,S2_Fade,E-FQ,POST,NIS,0.349001,0.119627,0.004079,0.975870
2,0,S2_Fade,E-FQ,POST,Ppred11,0.606978,0.508716,0.384388,0.917939
2,0,S2_Fade,E-FQ,POST,Ppred22,0.020059,0.019461,0.018139,0.022881
2,0,S2_Fade,E-FQ,POST,tracking_error,-0.018987,-0.017127,-0.896954,0.852249
