Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S2_Fade,E-CAL,PRE,m_reliability,0.958570,0.987227,0.850555,1.000000
S2_Fade,E-CAL,PRE,Lambda,1.030288,1.010622,1.000000,1.058247
S2_Fade,E-CAL,PRE,R_vb,0.149435,0.153443,0.112996,0.187596
S2_Fade,E-CAL,PRE,R_eff,0.154119,0.157382,0.113847,0.192067
S2_Fade,E-CAL,PRE,R_eff_R_vb,1.030288,1.010622,1.000000,1.058247
S2_Fade,E-CAL,PRE,K_delay,0.912055,0.920888,0.872611,0.946129
S2_Fade,E-CAL,PRE,Q11,1.201274,1.209162,0.457770,1.921750
S2_Fade,E-CAL,PRE,Q22,0.093346,0.091116,0.054392,0.142220
S2_Fade,E-CAL,PRE,tracking_error,0.158449,0.133632,-0.629773,0.957537
S2_Fade,E-CAL,FADE,rho_raw,0.678030,0.699230,0.507893,0.824294
S2_Fade,E-CAL,FADE,rho_relative,0.806389,0.834485,0.602036,0.981734
S2_Fade,E-CAL,FADE,m_reliability,0.805325,0.846006,0.591588,0.965376
S2_Fade,E-CAL,FADE,Lambda,1.688734,1.386394,1.071485,2.756981
S2_Fade,E-CAL,FADE,R_vb,0.237840,0.226151,0.157245,0.338163
S2_Fade,E-CAL,FADE,R_eff,0.407718,0.365584,0.175217,0.702391
S2_Fade,E-CAL,FADE,R_eff_R_vb,1.688734,1.386394,1.071485,2.756981
S2_Fade,E-CAL,FADE,K_delay,0.829113,0.834400,0.730658,0.914086
S2_Fade,E-CAL,FADE,Q11,1.193386,1.228438,0.700873,1.534714
S2_Fade,E-CAL,FADE,Q22,0.047576,0.048088,0.031303,0.063953
S2_Fade,E-CAL,FADE,tracking_error,0.171020,0.115113,-0.658714,0.981292
S2_Fade,E-CAL,POST,rho_raw,0.852465,0.842308,0.814268,0.892625
S2_Fade,E-CAL,POST,rho_relative,0.992468,1.000000,0.973293,1.000000
S2_Fade,E-CAL,POST,m_reliability,0.992117,0.995697,0.977033,1.000000
S2_Fade,E-CAL,POST,Lambda,1.015895,1.008490,1.000000,1.046590
S2_Fade,E-CAL,POST,R_vb,0.304314,0.304757,0.259202,0.362023
S2_Fade,E-CAL,POST,R_eff,0.309227,0.309134,0.260957,0.367136
S2_Fade,E-CAL,POST,R_eff_R_vb,1.015895,1.008490,1.000000,1.046590
S2_Fade,E-CAL,POST,K_delay,0.805205,0.814464,0.736853,0.853214
S2_Fade,E-CAL,POST,Q11,0.854179,0.857959,0.459366,1.226439
S2_Fade,E-CAL,POST,Q22,0.021967,0.019498,0.011469,0.036061
S2_Fade,E-CAL,POST,tracking_error,0.209430,0.226607,-0.455932,0.851646
S3_Warp_Fade,C,NORMAL,m_reliability,0.836602,0.866819,0.744079,0.883896
S3_Warp_Fade,C,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,NORMAL,R_vb,0.313309,0.289795,0.076300,0.582471
S3_Warp_Fade,C,NORMAL,R_eff,0.313309,0.289795,0.076300,0.582471
S3_Warp_Fade,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,NORMAL,K_delay,0.661916,0.649674,0.488721,0.864966
S3_Warp_Fade,C,NORMAL,Q11,0.291521,0.317425,0.095977,0.453615
S3_Warp_Fade,C,NORMAL,Q22,0.002003,0.001909,0.001422,0.002816
S3_Warp_Fade,C,NORMAL,tracking_error,-0.393439,-0.402004,-0.859725,0.069163
S3_Warp_Fade,C,PRE,m_reliability,0.855755,0.869730,0.844223,0.890199
S3_Warp_Fade,C,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,C,PRE,R_vb,0.332708,0.331507,0.100000,0.589640
S3_Warp_Fade,C,PRE,R_eff,0.332708,0.331507,0.100000,0.589640
