Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S3_Warp_Fade,E,POST,R_eff_R_vb,1.319271,1.313448,1.250913,1.384513
S3_Warp_Fade,E,POST,K_delay,0.254214,0.252445,0.229799,0.282290
S3_Warp_Fade,E,POST,Q11,0.028489,0.026621,0.018081,0.041668
S3_Warp_Fade,E,POST,Q22,0.000223,0.000172,0.000081,0.000456
S3_Warp_Fade,E,POST,tracking_error,-2.291005,-2.300297,-2.512179,-2.046568
S3_Warp_Fade,E-VB-only,NORMAL,m_reliability,0.823403,0.855246,0.736865,0.878474
S3_Warp_Fade,E-VB-only,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,NORMAL,R_vb,0.126426,0.126379,0.117723,0.134582
S3_Warp_Fade,E-VB-only,NORMAL,R_eff,0.126426,0.126379,0.117723,0.134582
S3_Warp_Fade,E-VB-only,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,NORMAL,K_delay,0.931543,0.935437,0.903251,0.954464
S3_Warp_Fade,E-VB-only,NORMAL,Q11,1.386902,1.315254,0.753926,2.095571
S3_Warp_Fade,E-VB-only,NORMAL,Q22,0.070941,0.053255,0.021367,0.152215
S3_Warp_Fade,E-VB-only,NORMAL,tracking_error,-0.418417,-0.421917,-1.232553,0.398474
S3_Warp_Fade,E-VB-only,PRE,m_reliability,0.839053,0.859229,0.777052,0.881657
S3_Warp_Fade,E-VB-only,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,PRE,R_vb,0.126995,0.126991,0.118144,0.135289
S3_Warp_Fade,E-VB-only,PRE,R_eff,0.126995,0.126991,0.118144,0.135289
S3_Warp_Fade,E-VB-only,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,PRE,K_delay,0.936595,0.936850,0.916379,0.956133
S3_Warp_Fade,E-VB-only,PRE,Q11,1.350776,1.229569,0.778983,2.085844
S3_Warp_Fade,E-VB-only,PRE,Q22,0.124244,0.116824,0.073613,0.185815
S3_Warp_Fade,E-VB-only,PRE,tracking_error,-0.394919,-0.372113,-1.230839,0.389990
S3_Warp_Fade,E-VB-only,FADE,m_reliability,0.680994,0.704574,0.501616,0.818450
S3_Warp_Fade,E-VB-only,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,FADE,R_vb,0.127260,0.127709,0.118441,0.134155
S3_Warp_Fade,E-VB-only,FADE,R_eff,0.127260,0.127709,0.118441,0.134155
S3_Warp_Fade,E-VB-only,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,FADE,K_delay,0.937250,0.941084,0.914241,0.955841
S3_Warp_Fade,E-VB-only,FADE,Q11,1.525793,1.501764,0.898910,2.142794
