Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S2_Fade,EQ1,FADE,R_eff_R_vb,1.653898,1.408790,1.075684,2.646381
S2_Fade,EQ1,FADE,K_delay,0.338648,0.358117,0.251939,0.396247
S2_Fade,EQ1,FADE,Q11,0.050000,0.050000,0.050000,0.050000
S2_Fade,EQ1,FADE,Q22,0.002000,0.002000,0.002000,0.002000
S2_Fade,EQ1,FADE,abs_innovation,0.764430,0.673745,0.198403,1.476958
S2_Fade,EQ1,FADE,NIS,0.749760,0.425012,0.031921,2.048027
S2_Fade,EQ1,FADE,directional_consistency,0.216386,0.189025,0.041862,0.389434
S2_Fade,EQ1,FADE,coherent_fraction,0.055570,0.027813,0.001205,0.117976
S2_Fade,EQ1,FADE,tracking_error,0.128603,0.128290,-0.170460,0.434687
S2_Fade,EQ1,POST,R_vb,0.474376,0.469099,0.417990,0.538105
S2_Fade,EQ1,POST,R_eff,0.479448,0.473139,0.421416,0.544064
S2_Fade,EQ1,POST,R_eff_R_vb,1.010352,1.006959,1.000000,1.024558
S2_Fade,EQ1,POST,K_delay,0.384620,0.384875,0.369982,0.398854
S2_Fade,EQ1,POST,Q11,0.050000,0.050000,0.050000,0.050000
S2_Fade,EQ1,POST,Q22,0.002000,0.002000,0.002000,0.002000
S2_Fade,EQ1,POST,abs_innovation,0.726482,0.565705,0.341812,1.403828
S2_Fade,EQ1,POST,NIS,0.882932,0.416890,0.151444,2.499589
S2_Fade,EQ1,POST,directional_consistency,0.216384,0.216779,0.124762,0.310514
S2_Fade,EQ1,POST,coherent_fraction,0.041415,0.038036,0.011283,0.075505
S2_Fade,EQ1,POST,tracking_error,0.140458,0.150203,-0.160514,0.433339
S2_Fade,EQ2,NORMAL,R_vb,0.396702,0.397313,0.234742,0.559696
S2_Fade,EQ2,NORMAL,R_eff,0.448477,0.416656,0.237330,0.639855
S2_Fade,EQ2,NORMAL,R_eff_R_vb,1.112540,1.010865,1.000000,1.223429
S2_Fade,EQ2,NORMAL,K_delay,0.660461,0.658004,0.551847,0.760965
S2_Fade,EQ2,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
S2_Fade,EQ2,NORMAL,Q22,0.133173,0.109164,0.025294,0.268392
S2_Fade,EQ2,NORMAL,abs_innovation,0.923140,0.669361,0.347289,1.657127
S2_Fade,EQ2,NORMAL,NIS,0.982002,0.396205,0.095604,2.443927
S2_Fade,EQ2,NORMAL,directional_consistency,0.187478,0.193612,0.046318,0.311016
S2_Fade,EQ2,NORMAL,coherent_fraction,0.036386,0.029856,0.001667,0.075713
S2_Fade,EQ2,NORMAL,tracking_error,0.231979,0.235485,-0.259365,0.711146
S2_Fade,EQ2,PRE,R_vb,0.272482,0.278649,0.183481,0.370072
S2_Fade,EQ2,PRE,R_eff,0.278448,0.283066,0.184494,0.380099
S2_Fade,EQ2,PRE,R_eff_R_vb,1.019017,1.008070,1.000000,1.051489
S2_Fade,EQ2,PRE,K_delay,0.737008,0.733552,0.680302,0.781317
S2_Fade,EQ2,PRE,Q11,0.050000,0.050000,0.050000,0.050000
S2_Fade,EQ2,PRE,Q22,0.176283,0.156453,0.084710,0.294300
S2_Fade,EQ2,PRE,abs_innovation,1.028215,1.100209,0.376979,1.963225
S2_Fade,EQ2,PRE,NIS,1.417931,0.943981,0.125119,3.534571
S2_Fade,EQ2,PRE,directional_consistency,0.177929,0.183553,0.038162,0.312351
S2_Fade,EQ2,PRE,coherent_fraction,0.035535,0.026701,0.001125,0.076652
S2_Fade,EQ2,PRE,tracking_error,0.230219,0.220223,-0.306580,0.770214
S2_Fade,EQ2,FADE,R_vb,0.453704,0.445424,0.311512,0.617067
S2_Fade,EQ2,FADE,R_eff,0.766005,0.686138,0.377265,1.286467
