ProfileID,Trial,SymbolIdx,Phase,m_k,z_k,epsilon_true_k,e_meas_k
P1,175,67,POST,0.969637128275868,-11.4700772601506,-9.51859734074301,-0.992666628740118
P1,175,68,POST,0.962988608245803,-10.8051538230657,-9.66183071192805,-0.184509820470184
P1,175,69,POST,0.975659689378274,-10.9953703522365,-9.80587789215726,-0.230679169411827
P1,175,70,POST,0.959743576078522,-11.5666516991476,-9.9507369359042,-0.65710147257594
P1,175,71,POST,0.948542666767327,-11.8822000111989,-10.0964058784765,-0.826980842054983
P1,175,72,POST,0.972700158751876,-10.8226521261833,-10.2428827359278,0.379043900411878
P1,175,73,POST,1,-10.8683064315202,-10.390165505191,0.480672364338286
P1,175,74,POST,0.976363618512838,-12.7055382325465,-10.5382521640411,-1.20847277783795
P1,175,75,POST,0.967637296405199,-12.080414576248,-10.687140671223,-0.434460614357508
P1,175,76,POST,0.975704686765162,-12.5155463869589,-10.8368289664833,-0.719904129808114
P1,175,77,POST,0.960331318997579,-12.8157281596698,-10.9873149705546,-0.869599898447767
P1,175,78,POST,0.975447079083866,-11.8735768725916,-11.1385965853339,0.223833003409759
P1,175,79,POST,1,-11.5848221556961,-11.2906716937813,0.664662828752626
P1,175,80,POST,0.980070905273244,-13.4523720095432,-11.4435381600533,-1.05002055882248
P1,175,81,POST,0.975645139957237,-12.6135069570056,-11.5971938295534,-0.0574998367847623
P1,175,82,POST,0.985227761749889,-12.9109214095788,-11.7516365289854,-0.200471589925971
P1,175,83,POST,0.971381038162191,-13.4230863917912,-11.9068640663746,-0.557409034749083
P1,175,84,POST,0.950053727392619,-14.0775622015794,-12.0628742311322,-1.05587467977973
P1,175,85,POST,0.967967546488392,-12.7495535138407,-12.2196647941211,0.428924570947869
P1,175,86,POST,1,-13.0019231350178,-12.3772335077073,0.334123663356937
P1,175,87,POST,0.979374963711996,-14.6178635376618,-12.5355781057728,-1.12347214122155
P1,175,88,POST,0.974749408952821,-14.1922907681116,-12.6946963038597,-0.538781173584461
P1,175,89,POST,0.978206319326321,-14.6507839395534,-12.8545857991194,-0.837384849766568
P1,175,90,POST,0.977339481574492,-13.1184411181777,-13.0152442704246,0.855616442914284
P1,175,91,POST,0.97472229447413,-14.8777861294968,-13.1766693784119,-0.742303460417439
P1,175,92,POST,0.980216339496503,-13.8688433701235,-13.3388587655219,0.428828686065795
P1,175,93,POST,0.972925463133213,-15.8109801112457,-13.5018100561588,-1.35035676441941
P1,175,94,POST,0.968819793747044,-14.8516611645156,-13.6655208565468,-0.227327017301359
P1,175,95,POST,0.981342308187596,-15.4279767161348,-13.8299887549778,-0.639174670489535
P1,175,96,POST,0.963125919125758,-16.0423506509492,-13.9952113217525,-1.08832603852924
P1,175,97,POST,0.977295684744681,-15.0361991462942,-14.1611861093063,0.083800253679577
P1,175,98,POST,1,-14.8676362069815,-14.3279106522298,0.419087735915742
P1,175,99,POST,1,-14.8343545321089,-14.4953824672669,0.61984122582547
P1,175,100,POST,0.974854558860088,-16.9896632291347,-14.6635990535566,-1.36725088491061
P1,175,101,POST,0.96091531950447,-16.2846570223556,-14.8325578925323,-0.493285839155757
P1,175,102,POST,0.96043832052963,-16.7775405305546,-15.0022564479961,-0.816470791891014
